Title,Miles,Price,Deal,Stock,Year,Make,Model,Sub_Model
2014 Lexus GX 460 Luxury,98000,28900,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Luxury,133167,24744,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,106325,27995,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,96889,29995,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,81806,25045,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,156390,20999,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,156881,20999,None,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,163847,19999,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,159305,22350,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 460,175163,18169,Good,Used,2014,Lexus,GX 460 460,Base
2014 Lexus GX 460 460,120483,24955,Fair,Used,2014,Lexus,GX 460 460,Base
2014 Lexus GX 460 Luxury,72571,26995,Good,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,103873,21991,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,170995,21585,Good,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,89309,29495,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,74497,31294,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,85109,23999,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,126561,23483,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,149811,20495,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,107971,23978,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,137141,23944,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,155698,23998,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 LOADED,88928,26588,Fair,Used,2014,Lexus,GX 460 LOADED,Base
2014 Lexus GX 460 Base,88314,24495,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 4WD,171350,19995,Fair,Used,2014,Lexus,GX 460 4WD,Base
2014 Lexus GX 460 Base,153858,26999,None,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,101161,23495,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,106988,24988,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 GX 460 Sport Utility 4D,132421,20999,Good,Used,2014,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2014 Lexus GX 460 Base,164363,21064,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,135219,22988,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,112359,24882,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,164096,20999,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 4WD 4dr,72498,24995,Good,Used,2014,Lexus,GX 460 4WD 4dr,Base
2014 Lexus GX 460 Base,116662,25000,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 460,118146,21995,Good,Used,2014,Lexus,GX 460 460,Base
2014 Lexus GX 460 4WD / PREMIUM / NAVIGATION,92701,26895,Fair,Used,2014,Lexus,GX 460 4WD / PREMIUM / NAVIGATION,Premium
2014 Lexus GX 460 Base,112520,25788,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,155141,21588,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,134308,23895,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,97592,21899,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,140243,22999,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,105824,26995,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,175802,18000,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,106981,27599,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,57669,28888,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,117079,25818,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base AWD 4dr SUV,112595,23999,Fair,Used,2014,Lexus,GX 460 Base AWD 4dr SUV,Base
2014 Lexus GX 460 Base,129477,21995,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,116182,24753,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 GX 460 Sport Utility 4D,77160,25699,Good,Used,2014,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2014 Lexus GX 460 Base,176070,18944,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,69455,27096,Good,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,138769,20995,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,75768,26499,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 460,69396,26000,Good,Used,2014,Lexus,GX 460 460,Base
2014 Lexus GX 460 4WD 4dr,154464,22495,Fair,Used,2014,Lexus,GX 460 4WD 4dr,Base
2014 Lexus GX 460 GX 460 Sport Utility 4D,98534,22995,Good,Used,2014,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2014 Lexus GX 460 Base,116480,23987,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,115733,23850,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,72750,25890,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Sport Utility,77527,25499,Good,Used,2014,Lexus,GX 460 Sport Utility,Base
2014 Lexus GX 460 Base,56248,29999,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,129817,23995,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 460,68816,26903,Fair,Used,2014,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,125035,19988,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,134788,23500,Great,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,93334,24500,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base AWD 4dr SUV,176052,20488,Good,Used,2015,Lexus,GX 460 Base AWD 4dr SUV,Base
2015 Lexus GX 460 Base AWD 4dr SUV,105336,24990,Good,Used,2015,Lexus,GX 460 Base AWD 4dr SUV,Base
2015 Lexus GX 460 Base,93076,26891,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,138473,19990,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,151694,24995,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,135383,22990,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,86249,24998,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,138469,24995,Fair,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 4WD 4dr,94170,27950,Good,Used,2015,Lexus,GX 460 4WD 4dr,Base
2015 Lexus GX 460 4WD 4dr,101007,20900,Good,Used,2015,Lexus,GX 460 4WD 4dr,Base
2015 Lexus GX 460 Luxury,149443,20974,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 460,104340,27000,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Luxury,101103,27718,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 4WD 4dr,86586,25488,Good,Used,2015,Lexus,GX 460 4WD 4dr,Base
2015 Lexus GX 460 Base,91805,24998,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 GX 460 Sport Utility 4D,118303,24500,Good,Used,2015,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2015 Lexus GX 460 Base,99870,24995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,109491,22995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,92453,25989,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,68209,32240,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,139507,29995,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,122637,22782,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,104988,29888,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,191905,20650,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,86917,27281,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,91000,28200,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,62391,29995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,85754,28995,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460,139557,23498,Good,Used,2015,Lexus,GX 460,Base
2015 Lexus GX 460 Luxury AWD 4dr SUV,84148,29756,Fair,Used,2015,Lexus,GX 460 Luxury AWD 4dr SUV,Luxury
2015 Lexus GX 460 Luxury,144008,21999,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,80166,24664,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,141756,21700,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Luxury,73500,30274,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 460,128583,21174,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Luxury,94541,29334,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,120000,22995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,111336,26998,Fair,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,90850,29991,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Sport,123342,22990,Good,Used,2015,Lexus,GX 460 Sport,Base
2015 Lexus GX 460 Base,138118,25990,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,90871,24995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,67500,28200,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,136138,22999,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Luxury,113020,25990,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Luxury,62779,33990,Fair,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Luxury,128242,23999,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,165198,19777,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,165282,18500,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,95696,25570,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 460,117697,22948,Fair,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,171747,23777,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base AWD 4dr SUV,131400,21988,Good,Used,2015,Lexus,GX 460 Base AWD 4dr SUV,Base
2015 Lexus GX 460 Luxury,77985,28599,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 GX 460 Sport Utility 4D,106099,22903,Good,Used,2015,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2015 Lexus GX 460 Base,79762,25998,Great,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,92185,26418,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,115000,21995,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,101153,24995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,110362,23507,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,141000,23499,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,132628,18995,Great,Used,2015,Lexus,GX 460 460,Base
