Miles,Stock,Year,Sub_Model,Price
98000,Used,2014,Luxury,28900
133167,Used,2014,Luxury,24744
106325,Used,2014,Base,27995
96889,Used,2014,Base,29995
81806,Used,2014,Base,25045
156390,Used,2014,Base,20999
156881,Used,2014,Base,20999
163847,Used,2014,Base,19999
159305,Used,2014,Base,22350
175163,Used,2014,Base,18169
120483,Used,2014,Base,24955
72571,Used,2014,Luxury,26995
103873,Used,2014,Base,21991
170995,Used,2014,Luxury,21585
89309,Used,2014,Base,29495
74497,Used,2014,Base,31294
85109,Used,2014,Base,23999
126561,Used,2014,Base,23483
149811,Used,2014,Base,20495
107971,Used,2014,Base,23978
137141,Used,2014,Luxury,23944
155698,Used,2014,Base,23998
88928,Used,2014,Base,26588
88314,Used,2014,Base,24495
171350,Used,2014,Base,19995
153858,Used,2014,Base,26999
101161,Used,2014,Base,23495
106988,Used,2014,Base,24988
132421,Used,2014,Base,20999
164363,Used,2014,Base,21064
135219,Used,2014,Base,22988
112359,Used,2014,Base,24882
164096,Used,2014,Luxury,20999
72498,Used,2014,Base,24995
116662,Used,2014,Base,25000
118146,Used,2014,Base,21995
92701,Used,2014,Premium,26895
112520,Used,2014,Base,25788
155141,Used,2014,Base,21588
134308,Used,2014,Luxury,23895
97592,Used,2014,Base,21899
140243,Used,2014,Base,22999
105824,Used,2014,Luxury,26995
175802,Used,2014,Base,18000
106981,Used,2014,Base,27599
57669,Used,2014,Base,28888
117079,Used,2014,Luxury,25818
112595,Used,2014,Base,23999
129477,Used,2014,Base,21995
116182,Used,2014,Base,24753
77160,Used,2014,Base,25699
176070,Used,2014,Base,18944
69455,Used,2014,Luxury,27096
138769,Used,2014,Base,20995
75768,Used,2014,Base,26499
69396,Used,2014,Base,26000
154464,Used,2014,Base,22495
98534,Used,2014,Base,22995
116480,Used,2014,Base,23987
115733,Used,2014,Base,23850
72750,Used,2014,Base,25890
77527,Used,2014,Base,25499
56248,Used,2014,Base,29999
129817,Used,2014,Luxury,23995
68816,Used,2014,Base,26903
125035,Used,2015,Base,19988
134788,Used,2015,Base,23500
93334,Used,2015,Base,24500
176052,Used,2015,Base,20488
105336,Used,2015,Base,24990
93076,Used,2015,Base,26891
138473,Used,2015,Base,19990
151694,Used,2015,Base,24995
135383,Used,2015,Luxury,22990
86249,Used,2015,Base,24998
138469,Used,2015,Base,24995
94170,Used,2015,Base,27950
101007,Used,2015,Base,20900
149443,Used,2015,Luxury,20974
104340,Used,2015,Base,27000
101103,Used,2015,Luxury,27718
86586,Used,2015,Base,25488
91805,Used,2015,Base,24998
118303,Used,2015,Base,24500
99870,Used,2015,Base,24995
109491,Used,2015,Base,22995
92453,Used,2015,Base,25989
68209,Used,2015,Base,32240
139507,Used,2015,Base,29995
122637,Used,2015,Base,22782
104988,Used,2015,Base,29888
191905,Used,2015,Luxury,20650
86917,Used,2015,Base,27281
91000,Used,2015,Base,28200
62391,Used,2015,Base,29995
85754,Used,2015,Luxury,28995
139557,Used,2015,Base,23498
84148,Used,2015,Luxury,29756
144008,Used,2015,Luxury,21999
80166,Used,2015,Base,24664
141756,Used,2015,Base,21700
73500,Used,2015,Luxury,30274
128583,Used,2015,Base,21174
94541,Used,2015,Luxury,29334
120000,Used,2015,Base,22995
111336,Used,2015,Luxury,26998
90850,Used,2015,Base,29991
123342,Used,2015,Base,22990
138118,Used,2015,Base,25990
90871,Used,2015,Base,24995
67500,Used,2015,Base,28200
136138,Used,2015,Luxury,22999
113020,Used,2015,Luxury,25990
62779,Used,2015,Luxury,33990
128242,Used,2015,Luxury,23999
165198,Used,2015,Base,19777
165282,Used,2015,Base,18500
95696,Used,2015,Luxury,25570
117697,Used,2015,Base,22948
171747,Used,2015,Base,23777
131400,Used,2015,Base,21988
77985,Used,2015,Luxury,28599
106099,Used,2015,Base,22903
79762,Used,2015,Base,25998
92185,Used,2015,Base,26418
115000,Used,2015,Base,21995
101153,Used,2015,Base,24995
110362,Used,2015,Luxury,23507
141000,Used,2015,Base,23499
132628,Used,2015,Base,18995
135390,Used,2015,Base,25900
97908,Used,2015,Base,24500
165000,Used,2015,Base,19999
94869,Used,2016,Base,27497
86562,Used,2016,Base,26700
56263,Used,2016,Base,26700
95198,Used,2016,Base,25994
80782,Used,2016,Luxury,29998
151503,Used,2016,Base,23295
45840,Used,2016,Base,32595
83921,Used,2016,Luxury,28998
98668,Used,2016,Base,27008
75304,Used,2016,Base,28965
168551,Used,2016,Base,22995
58957,Used,2016,Base,29999
82595,Used,2016,Luxury,27562
171947,Used,2016,Base,23397
106649,Used,2016,Base,22412
105560,Used,2016,Base,26290
67564,Used,2016,Luxury,31841
73094,Used,2016,Base,22500
80029,Used,2016,Base,25250
94073,Used,2016,Base,24995
65800,Used,2016,Base,28400
104023,Used,2016,Base,26745
79037,Used,2016,Base,30000
87965,Used,2016,Base,25555
51469,Used,2016,Base,30140
79360,Used,2016,Base,25995
100019,Used,2016,Base,25995
86162,Used,2016,Luxury,28490
118424,Used,2016,Luxury,25555
152761,Used,2016,Base,19997
100331,Used,2016,Base,25990
106459,Used,2016,Base,23995
74827,Used,2016,Base,27568
78783,Used,2016,Base,27999
87448,Used,2016,Base,28829
70193,Used,2016,Base,29995
81559,Used,2016,Base,29998
79650,Used,2016,Luxury,24991
113464,Used,2016,Base,25900
128288,Used,2016,Base,24285
83113,Used,2016,Base,29950
89804,Used,2016,Base,22979
111817,Used,2016,Base,21490
94076,Used,2016,Base,28250
135875,Used,2016,Base,24627
84411,Used,2016,Luxury,30495
86809,Used,2016,Luxury,27000
73381,Used,2016,Base,27998
56463,Used,2016,Base,31559
74944,Used,2016,Base,25499
57259,Used,2016,Luxury,29991
115521,Used,2016,Base,24888
140551,Used,2016,Base,22885
135720,Used,2016,Base,20495
42000,Used,2016,Base,33777
54048,Used,2016,Base,21999
65631,Used,2017,Base,32590
105310,Used,2017,Base,24000
81088,Used,2017,Base,28982
145832,Used,2017,Luxury,24699
118127,Used,2017,Luxury,35995
60042,Used,2017,Base,37781
89957,Used,2017,Luxury,30987
85033,Used,2017,Base,29663
133190,Used,2017,Base,24400
91031,Used,2017,Luxury,30000
85278,Used,2017,Base,28995
91510,Used,2017,Base,29995
133990,Used,2017,Base,23668
81549,Used,2017,Base,28393
84108,Used,2017,Base,29995
60402,Used,2017,Base,31995
95442,Used,2017,Base,24995
105690,Used,2017,Luxury,27994
82370,Used,2017,Base,25499
97067,Used,2017,Base,26879
97898,Used,2017,Base,26990
98226,Used,2017,Base,29980
80873,Used,2017,Base,30277
52054,Used,2017,Base,31000
90168,Used,2017,Base,29998
64438,Used,2017,Base,31884
59582,Used,2017,Base,31500
76062,Used,2017,Base,32901
107687,Used,2017,Base,27998
62983,Used,2017,Base,33990
84248,Used,2017,Base,28000
70041,Used,2017,Base,30993
89177,Used,2017,Base,29999
78749,Used,2017,Base,29978
85539,Used,2017,Base,26999
79648,Used,2017,Base,28549
95801,Used,2017,Base,24372
73959,Used,2017,Base,34999
115837,Used,2017,Luxury,27995
