Miles,Used,Certified,New,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Luxury,Base,Premium,Price
98000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28900
133167,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24744
106325,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27995
96889,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,29995
81806,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25045
156390,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20999
156881,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20999
163847,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19999
159305,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22350
175163,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18169
120483,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24955
72571,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,26995
103873,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21991
170995,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21585
89309,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,29495
74497,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,31294
85109,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23999
126561,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23483
149811,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20495
107971,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23978
137141,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23944
155698,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23998
88928,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26588
88314,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24495
171350,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19995
153858,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26999
101161,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23495
106988,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24988
132421,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20999
164363,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21064
135219,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22988
112359,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24882
164096,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20999
72498,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24995
116662,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25000
118146,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21995
92701,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26895
112520,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25788
155141,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21588
134308,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23895
97592,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21899
140243,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22999
105824,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,26995
175802,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18000
106981,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27599
57669,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,28888
117079,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25818
112595,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23999
129477,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21995
116182,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24753
77160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25699
176070,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18944
69455,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27096
138769,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20995
75768,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26499
69396,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26000
154464,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22495
98534,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22995
116480,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23987
115733,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23850
72750,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25890
77527,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25499
56248,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,29999
129817,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23995
68816,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26903
125035,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19988
134788,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23500
93334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24500
176052,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,20488
105336,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24990
93076,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26891
138473,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19990
151694,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
135383,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22990
86249,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24998
138469,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
94170,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27950
101007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,20900
149443,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20974
104340,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27000
101103,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27718
86586,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25488
91805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24998
118303,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24500
99870,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
109491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22995
92453,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25989
68209,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32240
139507,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29995
122637,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22782
104988,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29888
191905,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20650
86917,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27281
91000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28200
62391,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29995
85754,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28995
139557,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23498
84148,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29756
144008,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21999
80166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24664
141756,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21700
73500,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30274
128583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21174
94541,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29334
120000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22995
111336,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26998
90850,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29991
123342,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22990
138118,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25990
90871,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
67500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28200
136138,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22999
113020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25990
62779,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33990
128242,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,23999
165198,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19777
165282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18500
95696,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25570
117697,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22948
171747,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23777
131400,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21988
77985,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28599
106099,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22903
79762,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25998
92185,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26418
115000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21995
101153,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
110362,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,23507
141000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23499
132628,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18995
135390,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25900
97908,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24500
165000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19999
94869,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27497
86562,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26700
56263,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26700
95198,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25994
80782,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,29998
151503,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23295
45840,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32595
83921,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28998
98668,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27008
75304,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28965
168551,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22995
58957,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29999
82595,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27562
171947,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23397
106649,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22412
105560,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26290
67564,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31841
73094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22500
80029,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25250
94073,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24995
